text,author,tags,header
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,"friendship,love","{b'Content-Length': [b'10406'], b'Date': [b'Sun, 10 Sep 2023 17:52:35 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“Do one thing every day that scares you.”,Eleanor Roosevelt,"attributed,fear,inspiration","{b'Content-Length': [b'10406'], b'Date': [b'Sun, 10 Sep 2023 17:52:35 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe,attributed-no-source,"{b'Content-Length': [b'10406'], b'Date': [b'Sun, 10 Sep 2023 17:52:35 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein,music,"{b'Content-Length': [b'10406'], b'Date': [b'Sun, 10 Sep 2023 17:52:35 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,"books,thought","{b'Content-Length': [b'10406'], b'Date': [b'Sun, 10 Sep 2023 17:52:35 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils,misattributed-to-einstein,"{b'Content-Length': [b'10406'], b'Date': [b'Sun, 10 Sep 2023 17:52:35 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“He's like a drug for you, Bella.”",Stephenie Meyer,"drug,romance,simile","{b'Content-Length': [b'10406'], b'Date': [b'Sun, 10 Sep 2023 17:52:35 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“There is no friend as loyal as a book.”,Ernest Hemingway,"books,friends,novelist-quotes","{b'Content-Length': [b'10406'], b'Date': [b'Sun, 10 Sep 2023 17:52:35 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,inspirational,"{b'Content-Length': [b'10406'], b'Date': [b'Sun, 10 Sep 2023 17:52:35 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,"inspirational,life,yourself","{b'Content-Length': [b'10406'], b'Date': [b'Sun, 10 Sep 2023 17:52:35 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,alcohol,"{b'Content-Length': [b'10712'], b'Date': [b'Sun, 10 Sep 2023 17:52:41 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“You don’t forget the face of the person who was your last hope.”,Suzanne Collins,the-hunger-games,"{b'Content-Length': [b'10712'], b'Date': [b'Sun, 10 Sep 2023 17:52:41 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins,humor,"{b'Content-Length': [b'10712'], b'Date': [b'Sun, 10 Sep 2023 17:52:41 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",C.S. Lewis,love,"{b'Content-Length': [b'10712'], b'Date': [b'Sun, 10 Sep 2023 17:52:41 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“Not all those who wander are lost.”,J.R.R. Tolkien,"bilbo,journey,lost,quest,travel,wander","{b'Content-Length': [b'10712'], b'Date': [b'Sun, 10 Sep 2023 17:52:41 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",J.K. Rowling,live-death-love,"{b'Content-Length': [b'10712'], b'Date': [b'Sun, 10 Sep 2023 17:52:41 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,"good,writing","{b'Content-Length': [b'10712'], b'Date': [b'Sun, 10 Sep 2023 17:52:41 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,"life,regrets","{b'Content-Length': [b'10712'], b'Date': [b'Sun, 10 Sep 2023 17:52:41 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“I have never let my schooling interfere with my education.”,Mark Twain,education,"{b'Content-Length': [b'10712'], b'Date': [b'Sun, 10 Sep 2023 17:52:41 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss,troubles,"{b'Content-Length': [b'10712'], b'Date': [b'Sun, 10 Sep 2023 17:52:41 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
