text,author,tags,header
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,"friendship,love","{b'Content-Length': [b'11383'], b'Date': [b'Sun, 10 Sep 2023 17:57:05 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,humor,"{b'Content-Length': [b'11383'], b'Date': [b'Sun, 10 Sep 2023 17:57:05 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"humor,open-mind,thinking","{b'Content-Length': [b'11383'], b'Date': [b'Sun, 10 Sep 2023 17:57:05 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,"humor,philosophy","{b'Content-Length': [b'11383'], b'Date': [b'Sun, 10 Sep 2023 17:57:05 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,"authors,books,literature,reading,writing","{b'Content-Length': [b'11383'], b'Date': [b'Sun, 10 Sep 2023 17:57:05 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,"humor,insanity,lies,lying,self-indulgence,truth","{b'Content-Length': [b'11383'], b'Date': [b'Sun, 10 Sep 2023 17:57:05 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace","{b'Content-Length': [b'11383'], b'Date': [b'Sun, 10 Sep 2023 17:57:05 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,"humor,sinister","{b'Content-Length': [b'11383'], b'Date': [b'Sun, 10 Sep 2023 17:57:05 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand,,"{b'Content-Length': [b'11383'], b'Date': [b'Sun, 10 Sep 2023 17:57:05 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“′Classic′ - a book which people praise and don't read.”,Mark Twain,"books,classic,reading","{b'Content-Length': [b'11383'], b'Date': [b'Sun, 10 Sep 2023 17:57:05 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein,mistakes,"{b'Content-Length': [b'11012'], b'Date': [b'Sun, 10 Sep 2023 17:57:13 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen,"humor,love,romantic,women","{b'Content-Length': [b'11012'], b'Date': [b'Sun, 10 Sep 2023 17:57:13 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",J.K. Rowling,integrity,"{b'Content-Length': [b'11012'], b'Date': [b'Sun, 10 Sep 2023 17:57:13 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,"books,library,reading","{b'Content-Length': [b'11012'], b'Date': [b'Sun, 10 Sep 2023 17:57:13 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",Jane Austen,"elizabeth-bennet,jane-austen","{b'Content-Length': [b'11012'], b'Date': [b'Sun, 10 Sep 2023 17:57:13 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“Some day you will be old enough to start reading fairy tales again.”,C.S. Lewis,"age,fairytales,growing-up","{b'Content-Length': [b'11012'], b'Date': [b'Sun, 10 Sep 2023 17:57:13 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis,god,"{b'Content-Length': [b'11012'], b'Date': [b'Sun, 10 Sep 2023 17:57:13 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain,"death,life","{b'Content-Length': [b'11012'], b'Date': [b'Sun, 10 Sep 2023 17:57:13 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,"misattributed-mark-twain,truth","{b'Content-Length': [b'11012'], b'Date': [b'Sun, 10 Sep 2023 17:57:13 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis,"christianity,faith,religion,sun","{b'Content-Length': [b'11012'], b'Date': [b'Sun, 10 Sep 2023 17:57:13 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
